[20:11:33 117]开始录制键盘。
[20:12:08 703]开始录制键盘。
[20:12:10 955]录制键盘已经停止。
[20:12:16 932]开始录制键盘。
[20:12:17 541]录制键盘已经停止。
[20:12:44 442]开始录制键盘。
[20:12:46 165]录制键盘已经停止。
[20:12:47 202]开始录制键盘。
[20:12:59 463]开始录制键盘。
[20:13:02 305]录制键盘已经停止。
[20:13:03 417]开始录制键盘。
[20:13:19 460]开始录制键盘。
[20:13:23 807]录制键盘已经停止。
[20:13:28 342]开始录制键盘。
[20:15:14 742]开始录制键盘。
[20:15:16 926]录制键盘已经停止。
[20:15:17 580]开始录制键盘。
[20:15:33 462]开始录制键盘。
[20:15:37 365]录制键盘已经停止。
[20:15:44 622]开始录制键盘。
[20:15:48 364]录制键盘已经停止。
[20:16:32 590]开始录制键盘。
[20:16:33 131]录制键盘已经停止。
[20:16:42 415]开始录制键盘。
[20:16:43 316]录制键盘已经停止。
[20:16:43 898]开始录制键盘。
[20:17:52 716]开始录制键盘。
[20:17:53 397]录制键盘已经停止。
[20:17:53 953]开始录制键盘。
[20:18:16 687]开始录制键盘。
[20:18:17 754]录制键盘已经停止。
[20:18:18 160]开始录制键盘。
[20:18:37 115]开始录制键盘。
[20:18:38 049]录制键盘已经停止。
[20:18:38 386]开始录制键盘。
[20:18:55 223]开始录制键盘。
[20:18:55 828]录制键盘已经停止。
[20:18:56 718]开始录制键盘。
[20:29:58 278]开始并发执行任务，任务数量：2
[20:29:58 286]初始化服务规则：“总时长：0s，动作数：2”，请稍后。
[20:29:58 295]初始化服务规则：“总时长：3s，动作数：2”，请稍后。
[20:29:58 403]初始化任务：“总时长：3s，动作数：2”完成，有2个操作进行。策略：Once
[20:29:58 417]初始化任务：“总时长：0s，动作数：2”完成，有2个操作进行。策略：Once
[20:29:58 744]总时长：0s，动作数：2已经执行完毕，继续执行下一个服务。
[20:30:01 904]总时长：3s，动作数：2已经执行完毕，继续执行下一个服务。
[20:30:12 536]开始并发执行任务，任务数量：2
[20:30:12 566]初始化服务规则：“总时长：0s，动作数：2”，请稍后。
[20:30:12 586]初始化服务规则：“总时长：3s，动作数：2”，请稍后。
[20:30:12 602]初始化任务：“总时长：0s，动作数：2”完成，有2个操作进行。策略：Loop
[20:30:12 621]初始化任务：“总时长：3s，动作数：2”完成，有2个操作进行。策略：Loop
[20:30:16 238]总时长：0s，动作数：2已经暂停，请停止或恢复暂停
[20:30:19 494]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
[20:30:28 240]总时长：0s，动作数：2已经暂停，请停止或恢复暂停
[20:30:31 160]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
[20:30:38 735]总时长：0s，动作数：2已经暂停，请停止或恢复暂停
[20:30:41 228]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
[20:30:51 960]总时长：0s，动作数：2已经暂停，请停止或恢复暂停
[20:30:54 104]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
[20:31:01 174]总时长：0s，动作数：2已经暂停，请停止或恢复暂停
[20:31:03 677]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
[20:31:37 239]总时长：0s，动作数：2已经执行完毕，继续执行下一个服务。
[20:31:37 243]总时长：3s，动作数：2已经执行完毕，继续执行下一个服务。
[20:31:48 813]开始并发执行任务，任务数量：2
[20:31:48 832]初始化服务规则：“总时长：0s，动作数：2”，请稍后。
[20:31:48 854]初始化服务规则：“总时长：3s，动作数：2”，请稍后。
[20:31:48 869]初始化任务：“总时长：0s，动作数：2”完成，有2个操作进行。策略：Loop
[20:31:48 881]总时长：0s，动作数：2已经暂停，请停止或恢复暂停
[20:31:48 895]初始化任务：“总时长：3s，动作数：2”完成，有2个操作进行。策略：Loop
[20:31:48 906]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
[20:31:52 223]总时长：0s，动作数：2已经暂停，请停止或恢复暂停
[20:31:54 028]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
[20:31:57 748]总时长：0s，动作数：2已经暂停，请停止或恢复暂停
[20:31:59 217]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
[20:32:07 085]总时长：0s，动作数：2已经执行完毕，继续执行下一个服务。
[20:32:07 882]开始并发执行任务，任务数量：2
[20:32:07 892]初始化服务规则：“总时长：0s，动作数：2”，请稍后。
[20:32:07 905]初始化任务：“总时长：0s，动作数：2”完成，有2个操作进行。策略：Loop
[20:32:07 918]初始化服务规则：“总时长：3s，动作数：2”，请稍后。
[20:32:07 933]初始化任务：“总时长：3s，动作数：2”完成，有2个操作进行。策略：Loop
[20:32:09 206]总时长：0s，动作数：2已经暂停，请停止或恢复暂停
[20:32:09 326]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
[20:32:11 345]总时长：3s，动作数：2已经暂停，请停止或恢复暂停
